name,salary_from,salary_to,salary_currency,area_name,published_at
Backend-разработчик PHP/GO,1100000.0,1700000.0,KZT,Алматы,2022-12-07T07:59:13+0300
Заведующий гаражом,70000.0,,RUR,Углич,2022-12-07T10:14:08+0300
Инженер-программист 1 категории,45000.0,50000.0,RUR,Тольятти,2022-12-07T09:05:34+0300
Ведущий инженер-программист (программно-математическое обеспечение),100000.0,140000.0,RUR,Москва,2022-12-07T11:50:48+0300
Software developer (релокация в Великобританию),200000.0,400000.0,RUR,Новосибирск,2022-12-07T08:10:15+0300
Менеджер по продаже IT-решений,,,,Москва,2022-12-07T08:44:20+0300
Системный администратор Help-Desk,30000.0,50000.0,RUR,Сыктывкар,2022-12-07T11:31:15+0300
Системный аналитик,,,,Москва,2022-12-07T10:47:44+0300
Android developer (удалённая работа),,,,Москва,2022-12-07T09:43:00+0300
"Руководитель направления 1С: УПП, БУ, НУ, МСФО (работа удаленно)",,,,Москва,2022-12-07T07:06:38+0300
Системный администратор,,,,Казань,2022-12-07T09:04:29+0300
Токарь,35000.0,,RUR,Ярославль,2022-12-07T09:40:49+0300
Менеджер по работе с ключевыми клиентами (Арабский язык),,120000.0,RUR,Москва,2022-12-07T10:04:19+0300
Помощник маркетолога,,60000.0,RUR,Санкт-Петербург,2022-12-07T11:59:31+0300
JAVA разработчик (middle),,,,Москва,2022-12-07T11:45:26+0300
Программист Python,200000.0,,RUR,Москва,2022-12-07T11:29:07+0300
Компьютерный Мастер,60000.0,,RUR,Барнаул,2022-12-07T11:26:22+0300
Начинающий специалист( телеком),45000.0,,RUR,Новокузнецк,2022-12-07T08:42:49+0300
Начальник отдела информационных технологий,,,,Волгоград,2022-12-07T09:25:18+0300
Инженер технической поддержки 2 линия,,120000.0,RUR,Москва,2022-12-07T10:36:35+0300
Системный администратор Unix/Linux,60000.0,70000.0,RUR,Пермь,2022-12-07T08:38:38+0300
Middle / Senior Python/Go developer,80000.0,200000.0,RUR,Ульяновск,2022-12-07T06:12:00+0300
Системный аналитик (junior),,,,Екатеринбург,2022-12-07T09:11:31+0300
Оператор плазменной резки,50000.0,,RUR,Барнаул,2022-12-07T07:14:42+0300
Middle Django разработчик,100000.0,100000.0,RUR,Екатеринбург,2022-12-07T08:29:49+0300
Финансовый советник,100000.0,,RUR,Воронеж,2022-12-07T09:38:10+0300
Оператор станков с ПУ,110000.0,130000.0,RUR,Нижний Тагил,2022-12-07T08:18:55+0300
Веб-аналитик,50000.0,,RUR,Санкт-Петербург,2022-12-07T10:37:09+0300
Инженер I категории,55000.0,60000.0,RUR,Ярославль,2022-12-07T11:09:42+0300
Специалист технической поддержки,100000.0,120000.0,KZT,Алматы,2022-12-07T07:44:42+0300
Слесарь по КИП и автоматике,319000.0,382000.0,KZT,Лисаковск,2022-12-07T09:39:58+0300
Корреспондент СМИ,40000.0,,RUR,Красноярск,2022-12-07T08:23:27+0300
