,name,salary_from,salary_to,salary_currency,area_name,published_at
250,Специалист техподдержки,500.0,1000.0,RUR,Москва,2007
251,Программист 1с 8.1,60000.0,60000.0,RUR,Москва,2007
252,Креативный дизайнер,27000.0,40000.0,RUR,Москва,2007
253,Оператор на телефон,10000.0,20000.0,RUR,Москва,2007
254,Специалист отдела расчетов и поддержки торговых организаций,20000.0,22000.0,RUR,Москва,2007
255,Менеджер отдела (информационные системы),45000.0,55000.0,RUR,Москва,2007
256,Верстальщик,15000.0,20000.0,RUR,Москва,2007
257,Специалист в отдел интернет-маркетинга,25000.0,30000.0,RUR,Москва,2007
258,Системный инженер,14500.0,18000.0,RUR,Ростов-на-Дону,2007
259,Системный инженер техподдержки,26000.0,26500.0,RUR,Москва,2007
260,Программист-разработчик 1С 8.0 (нетиповые конфигурации),50000.0,70000.0,RUR,Москва,2007
261,Системный администратор,45000.0,50000.0,RUR,Москва,2007
262,Сотрудник helpdesk,25000.0,26000.0,RUR,Москва,2007
263,Консультант по автоматизации учета на базе 1С и СбиС++,500.0,800.0,RUR,Ярославль,2007
264,Прикладной Java программист (СУФД),8000.0,20000.0,RUR,Ростов-на-Дону,2007
265,Ведущий системный программист Java,17000.0,35000.0,RUR,Ростов-на-Дону,2007
266,Системный программист Java,15000.0,30000.0,RUR,Ростов-на-Дону,2007
267,Web-разработчик,8000.0,25000.0,RUR,Ростов-на-Дону,2007
268,Менеджер по развитию,60000.0,62000.0,RUR,Самара,2007
269,Помощник системного администратора,10000.0,15000.0,RUR,Санкт-Петербург,2007
270,Секретарь (оператор ПК),15000.0,15000.0,RUR,Москва,2007
271,Инженер,25000.0,28000.0,RUR,Санкт-Петербург,2007
272,Ведущий программист (1С:8),69000.0,69000.0,RUR,Москва,2007
273,Специалист по поддержке фискальных систем (1С 7.7),60000.0,60000.0,RUR,Москва,2007
274,Начальник группы поддержки,45000.0,45000.0,RUR,Москва,2007
275,Администратор 1С,52200.0,52200.0,RUR,Москва,2007
276,Методист,71340.0,71340.0,RUR,Москва,2007
277,Руководитель группы тестирования и внедрения,70470.0,70470.0,RUR,Москва,2007
278,Руководитель группы сопровождения,66900.0,66900.0,RUR,Москва,2007
279,Cистемный администратор,30000.0,36000.0,RUR,Москва,2007
280,Инженер техподдержки,10000.0,15000.0,RUR,Москва,2007
281,Разработчик Java,60000.0,80000.0,RUR,Москва,2007
282,Специалист по технической поддержке программного продукта.,20000.0,35000.0,RUR,Москва,2007
283,Менеджер проектов,30000.0,50000.0,RUR,Москва,2007
284,Специалист по внедрению,30000.0,40000.0,RUR,Москва,2007
285,Директор,60000.0,60000.0,RUR,Санкт-Петербург,2007
286,Web мастер,26000.0,26000.0,RUR,Московская область - Юг,2007
287,Системный администратор,27000.0,30000.0,RUR,Санкт-Петербург,2007
288,Системный администратор,5000.0,15000.0,RUR,Казань,2007
289,Team-leader of Oracle developers group,75000.0,85000.0,RUR,Москва,2007
290,Developer VB&ASP (.Net) in european company,55000.0,60000.0,RUR,Москва,2007
291,Оператор,20000.0,20000.0,RUR,Москва,2007
292,"Senior developer (Oracle, PL/SQL)",55000.0,65000.0,RUR,Москва,2007
293,Программист,45000.0,55000.0,RUR,Москва,2007
294,Вэб-программист,25000.0,30000.0,RUR,Москва,2007
295,"Системный администратор, технический специалист",25000.0,40000.0,RUR,Москва,2007
296,Web-программист (PHP),12000.0,20000.0,RUR,Екатеринбург,2007
297,Программист-разработчик (Delphi),15000.0,30000.0,RUR,Екатеринбург,2007
298,Web-дизайнер,14000.0,22000.0,RUR,Екатеринбург,2007
299,Системный администратор,27000.0,35000.0,RUR,Москва,2007
300,Программист со знанием 1С,15000.0,30000.0,RUR,Чебоксары,2007
301,Инженер технической поддержки,25000.0,30000.0,RUR,Москва,2007
302,Менеджер по сопровождению Программного обеспечения,18000.0,21000.0,RUR,Москва,2007
303,Менеджер по внедрению и поддержке Программного обеспечения,22.0,27000.0,RUR,Москва,2007
304,Программист С++,30000.0,50000.0,RUR,Москва,2007
305,Бизнес-аналитик,35000.0,41000.0,RUR,Москва,2007
306,IT специалист (системный администратор),15000.0,20000.0,RUR,Ростов-на-Дону,2007
307,Web дизайнер (Web мастер),35000.0,41000.0,RUR,Москва,2007
308,Программист 1С,40000.0,40000.0,RUR,Нижний Новгород,2007
309,Верстальщик в веб-студию,24000.0,30000.0,RUR,Москва,2007
310,It специалист (Воронеж),16000.0,19200.0,RUR,Воронеж,2007
311,Системный администратор,40000.0,65000.0,RUR,Москва,2007
312,Продакт менеджер (Product Line Manager),40000.0,65000.0,RUR,Москва,2007
313,"Ведущий разработчик (ведущий программист) баз данных, T-SQL, (SQL Server 2000 - 2005)",45000.0,65000.0,RUR,Москва,2007
314,Инженер сетевого отдела (администратор),10000.0,15000.0,RUR,Ярославль,2007
315,Руководитель направления по продвижению ERP/CRM программы,60000.0,90000.0,RUR,Санкт-Петербург,2007
316,"Технический писатель, Аналитик",30000.0,40000.0,RUR,Москва,2007
317,Техник- чертежник,13000.0,15000.0,RUR,Москва,2007
318,IT-специалист,10000.0,13000.0,RUR,Ростов-на-Дону,2007
319,Системный администратор,20000.0,25000.0,RUR,Москва,2007
320,Программист 1С,45000.0,60000.0,RUR,Москва,2007
321,Администратор Oracle/Mysql,75000.0,100000.0,RUR,Москва,2007
322,Начальник отдела компьютерного обеспечения,50000.0,60000.0,RUR,Москва,2007
323,Программист-консультант 1С,60000.0,60000.0,RUR,Москва,2007
324,Системный инженер техподдержки,26000.0,26500.0,RUR,Москва,2007
325,Дизайнер сайтов,20000.0,30000.0,RUR,Санкт-Петербург,2007
326,Менеджер интернет-проектов (аккаунт-менеджер),20000.0,40000.0,RUR,Санкт-Петербург,2007
327,Cотрудник службы поддержки пользователей,12000.0,21000.0,RUR,Санкт-Петербург,2007
328,Менеджер по продажам,23000.0,45000.0,RUR,Москва,2007
329,Инженер-электрик,13700.0,16500.0,RUR,Нижний Новгород,2007
330,Системный администратор,50000.0,65000.0,RUR,Москва,2007
331,Инженер связи,15000.0,16500.0,RUR,Нижний Новгород,2007
332,Программист 1С,2000.0,3000.0,RUR,Москва,2007
333,Системный администратор,30000.0,40000.0,RUR,Москва,2007
334,Главный/Ведущий Специалист по тестированию,70000.0,75000.0,RUR,Москва,2007
335,Инженер технической поддержки,23000.0,30000.0,RUR,Санкт-Петербург,2007
336,Системный администратор,40000.0,60000.0,RUR,Москва,2007
337,Бизнес-аналитик,35000.0,41000.0,RUR,Москва,2007
